Parameters: numNests = 50 Pa = 0.25 Pc = 0.6 maxGenerations: 20000 stopCriterion = 20000
Dataset: A-n38-k5, Run time: 166.17, Best Solution Cost: 857.31664091025, Optimal Value: 730 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 38, 38
Dataset: A-n38-k5, Run time: 153.58, Best Solution Cost: 962.8394419639866, Optimal Value: 730 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 38, 38
Dataset: A-n38-k5, Run time: 166.84, Best Solution Cost: 856.4097229680453, Optimal Value: 730 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 38, 38


Dataset: A-n39-k5, Run time: 167.94, Best Solution Cost: 903.9820886225064, Optimal Value: 822 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 39, 39
Dataset: A-n39-k5, Run time: 166.34, Best Solution Cost: 934.531225894067, Optimal Value: 822 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 39, 39
Dataset: A-n39-k5, Run time: 166.30, Best Solution Cost: 876.8840367240625, Optimal Value: 822 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 39, 39
Dataset: A-n39-k5, Run time: 151.36, Best Solution Cost: 1003.6870752750758, Optimal Value: 822 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 39, 39
Dataset: A-n39-k5, Run time: 165.56, Best Solution Cost: 918.8868988570075, Optimal Value: 822 routesGen(gen, min) = 6, 5 numNodes(gen, req) = 39, 39


Dataset: A-n39-k6, Run time: 162.50, Best Solution Cost: 884.360615618504, Optimal Value: 831 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 39, 39
Dataset: A-n39-k6, Run time: 163.94, Best Solution Cost: 916.318524873926, Optimal Value: 831 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 39, 39
Dataset: A-n39-k6, Run time: 163.39, Best Solution Cost: 921.1074123858436, Optimal Value: 831 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 39, 39
Dataset: A-n39-k6, Run time: 163.34, Best Solution Cost: 946.4632414753584, Optimal Value: 831 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 39, 39
Dataset: A-n39-k6, Run time: 162.84, Best Solution Cost: 890.4120465585547, Optimal Value: 831 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 39, 39


Dataset: A-n44-k6, Run time: 169.53, Best Solution Cost: 1124.983911929291, Optimal Value: 937 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 44, 44
Dataset: A-n44-k6, Run time: 179.92, Best Solution Cost: 1055.6020838213922, Optimal Value: 937 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 44, 44
Dataset: A-n44-k6, Run time: 165.66, Best Solution Cost: 1088.4640545032448, Optimal Value: 937 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 44, 44
Dataset: A-n44-k6, Run time: 165.28, Best Solution Cost: 1102.5330960815477, Optimal Value: 937 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 44, 44
Dataset: A-n44-k6, Run time: 165.25, Best Solution Cost: 1035.3202750479418, Optimal Value: 937 routesGen(gen, min) = 6, 6 numNodes(gen, req) = 44, 44


