,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,830.044994847779,970.5457774648164,891.8568001887493,30.795249778245104,2.482666666666667,"2-opt, shift-1, double-bridge"
1,A-n33-k5,661,695.7167182810841,853.05001579495,749.6292080364747,42.175283214773216,2.4896666666666665,"2-opt, shift-1, double-bridge"
2,A-n33-k6,742,761.4253179879954,937.912621276083,828.7440474859943,42.15948079023151,2.6133333333333324,"2-opt, shift-1, double-bridge"
3,A-n34-k5,778,808.4005647128862,998.8009094839812,886.0824463209689,47.01535633394167,2.473666666666667,"2-opt, shift-1, double-bridge"
4,A-n36-k5,799,865.9413269467831,1002.4574153176588,921.9461838361526,37.04292306454814,2.534,"2-opt, shift-1, double-bridge"
5,A-n37-k5,669,731.31591893531,863.9006644190317,782.2701265867381,31.071270553816966,2.5746666666666664,"2-opt, shift-1, double-bridge"
6,A-n37-k6,949,1056.5600149066588,1272.129161439204,1117.964140758432,51.943158489616565,2.7069999999999994,"2-opt, shift-1, double-bridge"
7,A-n38-k5,730,788.4160882523931,1220.254915740622,914.140423436928,107.41688705109902,2.6646666666666667,"2-opt, shift-1, double-bridge"
8,A-n39-k5,822,932.6502709407811,1142.6273588764816,998.2612713839756,47.33315041630187,2.5873333333333335,"2-opt, shift-1, double-bridge"
9,A-n39-k6,831,915.2821517300429,1057.1692733950556,969.293905214972,34.49734694942291,2.686,"2-opt, shift-1, double-bridge"
10,A-n44-k6,937,1050.520810645686,1419.9929765051324,1176.72233821783,77.24714023569125,2.776333333333334,"2-opt, shift-1, double-bridge"
11,A-n45-k6,944,1026.3156186527067,1217.7597856600096,1111.249225875004,43.54520344192007,3.0443333333333333,"2-opt, shift-1, double-bridge"
12,A-n45-k7,1146,1254.653332177947,1380.0697919020754,1302.6463346453456,33.58589040876447,2.9923333333333333,"2-opt, shift-1, double-bridge"
