,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
27,B-n31-k5,784,"2-opt, shift-1, swap-2-2",690.4165868,711.4701313,24.84538863,2.416333333,"swap-2-1, shift-1, swap-2-2",686.8716506,705.008766,20.75870221,2.217,0.051930665
28,B-n34-k5,784,"2-opt, shift-1, swap-2-2",802.3157093,848.0845402,28.19123321,2.383333333,"swap-2-1, shift-1, swap-2-2",800.1173329,824.2891953,18.48015331,2.143333333,0.00024118
29,B-n35-k5,784,"2-opt, shift-1, swap-2-2",986.5179087,1033.458758,33.91584673,2.419333333,"swap-2-1, shift-1, swap-2-2",988.2010247,1020.562546,17.38002024,2.174,0.082206466
30,B-n38-k6,784,"2-opt, shift-1, swap-2-2",836.2079679,866.5778874,21.92452746,2.653666667,"swap-2-1, shift-1, swap-2-2",827.0366698,855.1993771,19.36332108,2.402,0.059835601
31,B-n39-k5,784,"2-opt, shift-1, swap-2-2",578.4973772,627.9476483,40.63453722,2.511333333,"swap-2-1, shift-1, swap-2-2",588.0991241,647.0866445,35.86941675,2.257333333,0.059835601
32,B-n41-k6,784,"2-opt, shift-1, swap-2-2",889.2351788,1013.937052,103.0078375,2.677,"swap-2-1, shift-1, swap-2-2",872.326579,947.7423108,51.24670561,2.403,0.008729668
33,B-n43-k6,784,"2-opt, shift-1, swap-2-2",785.4421185,830.067843,35.96230234,2.725333333,"swap-2-1, shift-1, swap-2-2",779.9681585,813.3504879,21.72384236,2.478333333,0.001483928
34,B-n44-k7,784,"2-opt, shift-1, swap-2-2",965.8069629,1045.74123,41.09966438,2.845666667,"swap-2-1, shift-1, swap-2-2",956.3913813,1012.410581,35.98853005,2.569666667,0.001286631
35,B-n45-k5,784,"2-opt, shift-1, swap-2-2",783.4360307,864.6527763,79.33567762,2.718666667,"swap-2-1, shift-1, swap-2-2",786.5061356,866.6594838,73.21128802,2.464333333,0.975387164
36,B-n45-k6,784,"2-opt, shift-1, swap-2-2",744.4409899,774.0877006,32.1090129,2.891,"swap-2-1, shift-1, swap-2-2",742.4180678,777.9896444,23.05977034,2.650333333,0.253644098
37,B-n50-k7,784,"2-opt, shift-1, swap-2-2",788.1488956,835.624282,41.02159069,2.95,"swap-2-1, shift-1, swap-2-2",788.6609634,863.2719033,40.91449804,2.701666667,0.00210526
38,B-n50-k8,784,"2-opt, shift-1, swap-2-2",1374.877623,1444.633995,37.06100224,3.078,"swap-2-1, shift-1, swap-2-2",1348.863907,1401.688432,36.53586319,2.818,0.000570644
39,B-n51-k7,784,"2-opt, shift-1, swap-2-2",1056.445097,1173.056146,149.8160316,3.104333333,"swap-2-1, shift-1, swap-2-2",1056.186905,1170.994576,54.25578663,2.873666667,0.158855499
40,B-n52-k7,784,"2-opt, shift-1, swap-2-2",790.6523874,844.670091,35.58306616,3.018666667,"swap-2-1, shift-1, swap-2-2",799.5290074,847.9471627,34.15705137,2.751,0.829013032
41,B-n56-k7,784,"2-opt, shift-1, swap-2-2",777.2898782,825.6563319,43.2923173,3.046666667,"swap-2-1, shift-1, swap-2-2",763.5659371,817.3143243,39.43691198,2.785666667,0.382034163
