,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,921.8535033830304,1564.23929291961,1085.8279098106716,129.47866925746328,2.595333333333333,"2-opt, double-bridge"
1,A-n33-k5,661,858.5637401213758,1065.4957220783926,934.469143639899,48.61819735632999,2.499,"2-opt, double-bridge"
2,A-n33-k6,742,840.4401527883138,1165.1111013759491,999.546474928802,68.43471695190367,2.428,"2-opt, double-bridge"
3,A-n34-k5,778,972.0239681626607,1230.1356805045739,1113.9755094036473,66.47430842093067,2.285333333333333,"2-opt, double-bridge"
4,A-n36-k5,799,1004.6960992057083,1207.047869879129,1107.8349266139603,53.662566397385255,2.4419999999999997,"2-opt, double-bridge"
5,A-n37-k5,669,817.8309680746972,1197.191710647237,928.4427723990268,71.76399106200984,2.4963333333333333,"2-opt, double-bridge"
6,A-n37-k6,949,1083.5704978693464,1532.485417167178,1276.7422626910422,116.90056397816623,2.5296666666666665,"2-opt, double-bridge"
7,A-n38-k5,730,882.7205087043421,1381.6121675682384,1052.2550242308178,132.42262031402262,2.4493333333333336,"2-opt, double-bridge"
8,A-n39-k5,822,1028.8134560299034,1492.1318000155884,1232.616273474307,132.15045343816664,2.3669999999999995,"2-opt, double-bridge"
9,A-n39-k6,831,1054.1222888732157,1271.293153545563,1158.727129938009,58.13720107701575,2.4356666666666658,"2-opt, double-bridge"
10,A-n44-k6,937,1178.8933618537226,1752.7088809157935,1379.7755924246662,125.65819517420229,2.4996666666666667,"2-opt, double-bridge"
11,A-n45-k6,944,1152.309375029949,1826.3040024270235,1331.3783815746187,117.41557718439199,2.623333333333333,"2-opt, double-bridge"
12,A-n45-k7,1146,1396.3487635197644,1654.9186804541587,1483.4640040473614,62.79154644672311,2.6063333333333336,"2-opt, double-bridge"
13,A-n46-k7,914,1143.9331978336659,1431.2741782253954,1258.4518374361344,66.12548618646741,2.6426666666666665,"2-opt, double-bridge"
14,A-n48-k7,1073,1324.1801964807782,1697.1132590054044,1505.4373347419669,88.47123443231524,2.6166666666666667,"2-opt, double-bridge"
15,A-n53-k7,1010,1298.1720654302114,1871.6904712049304,1550.8728782880034,153.6532579999606,2.774,"2-opt, double-bridge"
16,A-n54-k7,1167,1485.0146365562234,2123.6833557149907,1670.742108864928,150.06121178417766,2.7916666666666665,"2-opt, double-bridge"
17,A-n55-k9,1073,1341.3104793639004,1859.9907871267685,1503.6978709784428,124.93714218583986,3.0260000000000002,"2-opt, double-bridge"
18,A-n60-k9,1408,1677.5706528301307,2229.872721020348,1868.7049174952442,135.1574674665093,3.0256666666666665,"2-opt, double-bridge"
19,A-n61-k9,1035,1260.0957480095115,1681.1342638463755,1468.520117044148,77.37029835264734,3.1983333333333337,"2-opt, double-bridge"
20,A-n62-k8,1290,1684.0228751460947,2077.8448083778744,1912.442067849472,102.44553743378543,2.931,"2-opt, double-bridge"
21,A-n63-k10,1315,1606.4659589904031,2108.25296693957,1793.5095512972823,124.64484013295281,3.268333333333333,"2-opt, double-bridge"
22,A-n63-k9,1634,1955.605058680054,2524.627663361716,2151.215153945324,116.84068919030628,3.165666666666666,"2-opt, double-bridge"
