,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
67,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,0.000183261
68,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,0.13735471
69,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, double-bridge",1302.471886,1472.63698,103.2928677,2.765209877,5.61E-06
70,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, double-bridge",1135.96307,1294.397176,97.39772687,3.03626087,2.70E-05
71,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, double-bridge",752.3150677,855.8134161,52.09100553,2.701208333,1.82E-05
72,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, shift-1",1150.517142,1237.782767,50.03123599,2.646703704,0.009467354
73,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, shift-1",1025.803873,1094.869417,44.98140029,2.608797101,0.030814367
74,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, shift-1",654.5036711,709.0002902,32.00178759,2.5755,0.091850844
75,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, or-opt-2, double-bridge",1178.020915,1279.867562,62.49816357,2.47708642,5.61E-06
76,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, or-opt-2, double-bridge",1045.890192,1153.323889,64.81053233,2.522188406,4.03E-05
77,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, or-opt-2, double-bridge",661.0741806,716.0751577,31.99553048,2.488125,0.103403777
78,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, shift-1, double-bridge",1157.84407,1240.498576,52.09615473,3.102938272,0.005729472
