Sum of Best Solution Cost,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels, P-n20-k2, P-n50-k7,A-n32-k5,A-n33-k5,A-n33-k6,A-n34-k5,A-n36-k5,A-n37-k5,A-n37-k6,A-n38-k5,A-n39-k5,A-n39-k6,A-n44-k6,A-n45-k6,A-n45-k7,A-n46-k7,A-n48-k7,A-n53-k7,A-n54-k7,A-n55-k9,A-n60-k9,A-n61-k9,A-n62-k8,A-n63-k10,A-n63-k9,A-n64-k9,A-n65-k9,A-n69-k9,A-n80-k10,B-n31-k5,B-n34-k5,B-n35-k5,B-n38-k6,B-n39-k5,B-n41-k6,B-n43-k6,B-n44-k7,B-n45-k5,B-n45-k6,B-n50-k7,B-n50-k8,B-n51-k7,B-n52-k7,B-n56-k7,B-n57-k7,B-n57-k9,B-n63-k10,B-n64-k9,B-n66-k9,B-n67-k10,B-n68-k9,B-n78-k10,P-n101-k4,P-n16-k8,P-n19-k2,P-n21-k2,P-n22-k2,P-n22-k8,P-n23-k8,P-n40-k5.vrp,P-n45-k5,P-n50-k10,P-n50-k8,P-n51-k10,P-n55-k10,P-n55-k15,P-n55-k7,P-n55-k8,P-n60-k10,P-n60-k15,P-n65-k10,P-n70-k10,P-n76-k4,P-n76-k5,Grand Total
results13_orOpt2.csv,264.8825995,1096.577484,1291.843427,1235.998082,1297.168383,1237.998167,1351.656292,1171.978928,1523.735499,1482.964466,1345.316022,1498.272696,1528.07047,1913.833483,1752.547892,1591.648222,1797.466382,1915.8863,1974.812209,2173.741233,2452.146392,2002.442658,2460.701629,2592.848381,2619.81059,2470.032065,2523.729208,2457.21107,3419.604966,861.909557,1302.383389,1618.927168,1352.340421,1267.596546,1475.740157,1260.238607,1427.485439,1509.715696,1228.323396,1668.615475,1858.787034,2323.039251,1790.005209,1646.018061,2394.080278,2643.601563,2911.868098,2169.766546,2377.809337,2282.180422,2473.540981,2635.745796,1411.32951,468.095747,259.1064094,308.1739838,317.8147272,713.2664914,641.3730184,831.75537,1015.148536,1305.648518,1145.248261,1458.928996,1345.470881,1523.789297,1192.337233,1176.67829,1458.686005,1724.349206,1701.332571,1745.556732,1164.343737,1408.537667,119241.6148
results14_orOpt3.csv,286.9577618,980.7047589,1461.98072,1202.161503,1232.47179,1323.415301,1326.009103,1327.814157,1501.441164,1359.514221,1398.328034,1652.487878,1648.905842,1706.093596,1862.853045,1757.530171,1990.342355,2063.25885,2033.290975,2277.383763,2716.112483,2213.210104,2508.285669,2562.598717,2936.8469,2500.358947,2857.195875,2699.245771,3411.350632,888.8970066,1265.540753,1551.986944,1363.654237,1234.518796,1607.357379,1317.404388,1612.09698,1564.400113,1257.668907,1865.986174,2007.27755,2447.551368,1769.591102,1763.611918,2306.858868,2605.861956,3093.580882,2413.511495,2300.726776,2377.099096,2393.739073,2812.374775,1521.475754,474.0652155,269.4220453,273.5403384,317.9590527,744.7094329,629.3671397,801.5362157,996.5805944,1375.575888,1233.112342,1478.695565,1289.954353,1574.545384,1140.606134,1159.709325,1546.442967,1709.138039,1518.071384,1756.46767,1220.388887,1439.669081,123090.4794
results15_twoOpt_doubleBridge_levy4_5..csv,299.0871513,807.3680483,1048.534681,915.4907341,926.5861525,991.4143401,1039.499211,810.1282567,1241.073903,1065.349302,1090.101436,1208.947407,1307.22404,1279.717485,1408.94629,1301.775326,1300.594562,1460.971478,1560.607726,1371.285242,1724.320353,1358.900113,1699.408074,1704.323309,2054.694247,1778.243972,1595.38045,1562.539757,2468.918325,750.5265421,884.331114,1147.871001,1103.895983,700.4501103,1106.362399,1101.937125,1249.329241,1203.937512,887.6955749,1066.98405,1474.316816,1355.319811,1107.013238,979.6431748,1571.129336,1891.063702,2011.566224,1232.831603,1769.569688,1411.416768,1775.328229,1765.992887,1312.47537,454.0587605,292.6631055,232.1587561,292.2356309,623.8766698,557.5015916,675.8904145,776.3811041,841.4911022,786.0873935,928.4403678,815.6700037,1102.588348,774.6357589,787.0734585,990.8387554,1151.872578,1054.667786,1157.488515,1081.662555,966.3556311,85586.05716
results16_swap21_levy6.csv,285.2363001,758.288691,929.0227751,843.6674063,969.241642,973.930944,1006.776611,872.2705091,1128.255562,903.5620566,1123.856428,1088.60577,1202.715088,1262.816569,1384.977668,1185.218398,1343.354533,1323.575284,1558.616638,1386.511056,1632.315262,1458.276702,1699.65051,1648.005464,1937.223661,1745.096132,1521.986197,1546.967816,2300.557856,727.1391432,922.8084945,1130.099051,898.9836132,652.2971676,1044.707003,907.4607899,1108.181835,977.7875994,828.7957209,886.2460114,1560.602926,1176.426052,952.1070628,842.1902579,1459.080239,1775.089264,1890.983023,1062.797745,1679.617673,1404.182227,1504.702005,1655.687023,1204.920329,476.233363,271.4798138,299.0657316,336.0428866,619.6883582,556.7022644,603.3873759,769.8540051,842.6331437,758.5422795,903.1187008,886.7153775,1032.975035,759.3102141,783.5480019,979.9826842,1166.071589,1089.783826,1091.515194,1009.617092,979.4362614,81489.17498
results17_shift1_levy6.csv,331.8438516,710.7899392,856.4467877,843.2996979,981.6805272,1015.29014,899.6155723,857.256313,1423.234797,974.2743031,1193.474352,1126.658519,1102.643485,1202.366605,1338.474363,1095.319926,1207.496462,1457.828624,1495.635234,1390.490949,1797.420085,1286.237965,1733.589368,1587.942043,2111.408375,1896.539195,1537.778583,1794.923241,2196.289133,761.9572375,952.7106912,1039.333433,940.8358911,674.0260071,1220.826661,889.6913333,1140.747638,1302.5041,790.1439559,991.7267345,1479.814292,1206.962171,945.185011,957.8773154,1593.952156,1907.507207,1874.435671,1322.367612,1864.183584,1563.273643,1639.264573,1797.82877,1203.526764,463.3857706,346.4759142,257.9956879,310.4681555,650.8967255,557.3011111,601.2341521,722.9944154,805.5452301,701.6618437,861.5410127,815.291404,1289.129867,667.1474862,678.0423383,1313.684922,1134.887813,1140.579584,1259.880801,1064.283359,1434.156753,84583.51523
results18_twoOpt_levy6.csv,294.3498857,759.4966237,1104.549291,779.9528335,999.8917019,905.8301585,1022.246861,981.5245727,1151.147037,1045.188057,1148.970018,1096.523392,1309.846747,1450.698805,1398.269491,1392.586142,1374.511863,1519.443114,1533.492537,1399.851577,1697.806396,1443.06323,1833.99756,1948.243057,2090.166435,1773.71463,1758.898559,1604.806495,2266.612301,750.758804,1003.130703,1178.881238,881.349004,802.4055701,1224.545152,916.7997006,1146.924317,1145.303096,896.7655901,1006.672846,1561.713039,1675.755033,1061.127846,1051.309059,1610.897788,1988.517343,2063.828982,1240.675154,1619.268486,1563.307754,1653.009415,1704.595848,1364.406718,480.1944672,265.4420288,275.8911547,319.1189982,629.4337081,569.3546266,635.5463804,667.962024,858.956551,764.8046455,844.9754446,918.9217512,1107.418722,812.3128812,780.6008815,957.4089828,1137.667078,1117.227955,1121.797776,1022.746155,1067.851546,86553.26161
results19_twoOpt_swap21_5050_levy6.csv,278.7591985,676.9447949,920.1005598,797.0470977,943.5296298,856.0397467,963.1594066,852.6814844,1093.096871,933.829699,924.414174,1153.963983,1187.634903,1172.470249,1339.828706,1169.724054,1269.740113,1486.028398,1421.582103,1249.283737,1684.361529,1267.488168,1655.312533,1580.396454,1921.201297,1819.938354,1562.052,1591.97971,2216.69537,711.1032791,919.0392311,1009.709842,920.3206612,697.3998589,1080.172518,910.6157631,1047.676723,860.3545056,800.5571996,1012.241949,1412.42903,1233.105376,961.5275283,825.8767152,1479.431262,1778.462615,1798.148357,1069.985988,1626.241315,1278.137034,1477.938036,1607.674967,1141.496154,451.9470921,270.2853944,249.615338,280.5208187,628.999623,558.6834553,603.7892342,657.998379,798.7190797,716.1284428,855.8004418,822.3092896,1007.549984,715.9392955,743.0828749,907.028544,1129.840837,976.2798503,985.7176229,995.3157917,957.5585015,78962.04012
results20_twoOpt_shift1_5050_levy6.csv,304.958684,653.5035113,886.4577831,774.9245029,860.9597271,873.3873454,958.8163833,850.5636281,1104.437101,916.2926668,935.9910561,1021.33782,1165.606854,1144.830374,1299.72829,1151.80118,1269.5003,1381.593616,1521.203176,1302.794281,1764.224989,1333.896989,1546.406558,1600.947853,2041.679567,1746.91028,1483.539366,1483.563987,2278.964347,735.7904705,837.3153072,1086.307802,853.3394297,768.3006995,1061.059342,872.6574998,1071.402152,971.2785744,839.6640958,995.72102,1454.674475,1132.908695,941.3789509,817.2020039,1455.896657,1878.397796,1759.548555,1064.092726,1613.679377,1300.997146,1516.762906,1647.781264,1319.245189,451.3350802,274.5556222,244.3076636,306.3823296,637.5847366,541.4114678,569.1823718,640.9020914,840.5487064,739.2230358,841.8544454,823.4586329,1076.81982,673.7521186,751.4436334,891.6045427,1083.44814,933.5739224,1027.453659,966.3746543,917.0607753,78886.5018
results21_swap21_shift1_5050_levy6.csv,275.0686961,654.0127287,851.0796825,790.3164311,825.4893491,879.7823569,899.5245246,786.7730635,1059.709662,909.7642572,1039.66535,970.1841259,1205.33495,1144.401648,1259.441801,1160.224175,1244.705895,1271.636367,1385.402216,1282.812274,1678.35516,1227.239966,1529.374175,1683.508949,2038.702042,1750.57435,1497.981133,1421.215536,2160.607919,696.4271683,806.9546486,1045.080752,871.4846252,591.2873191,953.426521,848.2514139,1030.585224,1158.633785,792.8506491,917.5634636,1392.871897,1351.62415,868.0620655,829.2763587,1402.262547,1793.281552,1650.995863,1087.46976,1634.643169,1264.330257,1468.525,1543.839221,1170.203568,455.0309969,281.4350115,266.1789057,275.3676269,628.111715,545.3624343,600.2298169,597.8486023,827.9420987,671.9950387,861.2744413,798.2086061,1112.456025,695.6817312,730.8863004,892.8506204,1128.46276,942.2534106,986.008244,939.7810296,905.3552728,77195.54045
results22_swap21_doublebridge_levy4_levy5.csv,287.1056039,730.7444231,1037.286091,827.7982477,906.1520224,982.2806936,976.0463308,856.8854785,1115.55318,864.7103962,1040.617832,1117.691789,1140.333775,1181.03279,1375.219795,1166.903072,1366.580465,1481.225073,1466.342471,1360.87953,1715.626437,1269.420017,1798.648204,1593.151549,1980.379466,1731.13905,1651.789159,1494.659553,2414.030087,764.7213716,909.2352391,1056.13984,900.3410491,704.9075791,1001.391778,888.5393852,1091.108193,902.2635508,840.3245304,907.5723523,1415.021562,1174.296351,1013.383731,894.034475,1313.763602,1906.012429,1806.619128,1027.477216,1605.774375,1360.256751,1571.017067,1517.404537,1232.325714,473.7821124,277.6978257,264.9894377,360.7944788,626.933236,576.2874305,629.4829983,700.9754091,835.9659596,750.1566029,911.4259241,860.6066399,1103.869466,752.7972287,766.8803315,896.4778586,1202.042645,943.4745036,1045.488807,937.2253423,1019.715515,80671.23414
