,fileName,Name,Best Solution Cost,Optimal Value,Run Time
0,results00_crossDoubleBridge_levy6.csv,A-n32-k5,1048.8325763144346,784,5.98
1,results00_crossDoubleBridge_levy6.csv,A-n33-k5,900.4397553135371,661,4.73
2,results00_crossDoubleBridge_levy6.csv,A-n33-k6,1016.8490041379583,742,4.11
3,results00_crossDoubleBridge_levy6.csv,A-n34-k5,1090.5837497251914,778,4.94
4,results00_crossDoubleBridge_levy6.csv,A-n36-k5,1158.7362076413851,799,4.81
5,results00_crossDoubleBridge_levy6.csv,A-n37-k5,1007.8470821536923,669,5.11
6,results00_crossDoubleBridge_levy6.csv,A-n37-k6,1264.9808646299634,949,5.05
7,results00_crossDoubleBridge_levy6.csv,A-n38-k5,1064.8778074458596,730,5.44
8,results00_crossDoubleBridge_levy6.csv,A-n39-k5,1189.5709188703904,822,5.24
9,results00_crossDoubleBridge_levy6.csv,A-n39-k6,1223.5504491336128,831,5.2
10,results00_crossDoubleBridge_levy6.csv,A-n44-k6,1232.7053276059225,937,5.28
11,results00_crossDoubleBridge_levy6.csv,A-n45-k6,1391.4741209800088,944,5.24
12,results00_crossDoubleBridge_levy6.csv,A-n45-k7,1554.640317520164,1146,5.01
13,results00_crossDoubleBridge_levy6.csv,A-n46-k7,1394.8898967769517,914,5.4
14,results00_crossDoubleBridge_levy6.csv,A-n48-k7,1528.7261292970375,1073,5.13
15,results00_crossDoubleBridge_levy6.csv,A-n53-k7,1678.1566074719553,1010,5.54
16,results00_crossDoubleBridge_levy6.csv,A-n54-k7,1717.1168247244723,1167,5.65
17,results00_crossDoubleBridge_levy6.csv,A-n55-k9,1877.558588645515,1073,5.46
18,results00_crossDoubleBridge_levy6.csv,A-n60-k9,2225.5907167821506,1408,5.32
19,results00_crossDoubleBridge_levy6.csv,A-n61-k9,1699.2318542782168,1035,5.67
20,results00_crossDoubleBridge_levy6.csv,A-n62-k8,2087.1060106146588,1290,5.18
21,results00_crossDoubleBridge_levy6.csv,A-n63-k10,2074.941520359275,1315,5.91
22,results00_crossDoubleBridge_levy6.csv,A-n63-k9,2351.9851694048252,1634,5.73
