,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
32,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,0.000967944
33,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,1.76E-10
34,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,6.49E-11
35,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,0.002399721
36,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,0.009789434
37,870,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,6.36E-12
38,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,7.73E-14
39,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,1.71E-07
40,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,2.21E-05
41,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,1.37E-12
42,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,0.495564437
43,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,2.22E-06
44,870,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,3.26E-09
45,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,7.73E-14
46,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,7.73E-14
47,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,7.73E-14
48,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,7.73E-14
49,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,7.73E-14
50,870,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,9.11E-14
51,870,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,6.87E-09
52,870,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,0.64121843
53,870,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,2.53E-06
54,870,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,0.078588969
55,870,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,1.15E-10
56,870,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,2.72E-13
57,870,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,0.000767301
58,870,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,2.92E-08
59,870,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,7.48E-06
60,870,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,1.11E-10
61,870,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,0.785579411
62,870,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,7.73E-14
63,870,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,4.09E-05
64,870,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,1.13E-07
65,870,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,"2-opt, or-opt-3, double-bridge",976.7207474,1067.842698,53.06431796,2.198387387,2.33E-10
